Nitrogen,pHospHorus,Kalium,pH Tanah,Soil Moisture,Fuzzy Output,Label Fuzzy
26,65,22,5.949949081,18.77621951,0.823809127,S3
17,57,21,5.789214289,20.31564139,0.823809127,S3
26,80,18,5.581021521,23.3334788,0.823809127,S3
17,59,17,5.689858133,23.42829938,0.823809127,S3
27,59,22,5.794158504,23.20591245,0.823809127,S3
28,58,24,5.748190463,18.28173015,0.823809127,S3
25,57,19,5.566522896,19.87070659,0.823809127,S3
28,80,17,5.809419584,18.67170854,0.823809127,S3
25,60,22,5.887263027,21.17919701,0.823809127,S3
12,78,23,5.99812453,18.72479695,0.823809127,S3
6,77,25,5.792744849,24.36314135,0.823809127,S3
22,79,17,5.912289889,20.39659714,0.823809127,S3
27,80,15,5.788386951,21.21092266,0.823809127,S3
10,55,23,5.728233081,19.63438599,0.823809127,S3
23,65,20,5.833940084,22.42610972,0.823809127,S3
19,78,16,5.967533236,23.10538637,0.823809127,S3
19,65,25,5.625096446,18.29318436,0.823809127,S3
22,70,19,5.515615023,21.07643273,0.823809127,S3
37,64,22,5.954665349,18.8251973,0.823809127,S3
11,71,17,5.74644777,21.47324158,0.823809127,S3
18,79,20,5.877347515,23.2353604,0.823809127,S3
21,63,17,5.979973965,19.2303162,0.823809127,S3
24,80,22,5.635993966,19.17651433,0.823809127,S3
34,60,22,5.635231778,18.15302753,0.823809127,S3
16,75,21,5.679224346,23.61670065,0.823809127,S3
17,77,23,5.670062975,20.81527638,0.823809127,S3
37,72,18,5.724242065,24.54038287,0.823809127,S3
40,73,20,5.811314232,20.31871249,0.82372615,S3
9,77,17,5.783425416,24.45202552,0.823809127,S3
1,62,23,5.607808432,18.37477907,0.823809127,S3
33,59,22,5.946999529,21.59396123,0.823809127,S3
23,59,19,5.852046999,24.87304788,0.823809127,S3
6,62,22,5.824090984,18.09224048,0.823809127,S3
25,63,20,5.502999119,21.14544088,0.823724457,S3
7,79,23,5.821649914,19.68751084,0.823809127,S3
8,72,17,5.711439256,19.7520218,0.823809127,S3
27,64,15,5.514927264,24.84207559,0.823809127,S3
28,66,23,5.99616119,24.25386207,0.823809127,S3
32,57,18,5.695422863,23.75560241,0.823809127,S3
27,56,22,5.833010958,20.70099804,0.823809127,S3
17,77,24,5.568456899,18.93146941,0.823809127,S3
14,65,15,5.645435626,23.22197648,0.823809127,S3
13,72,21,5.821194486,21.0278674,0.823809127,S3
34,60,23,5.659254981,24.96969858,0.823809127,S3
9,80,19,5.945465949,18.57086554,0.823809127,S3
11,72,20,5.951177452,24.92607153,0.823809127,S3
3,67,24,5.520880014,19.90790546,0.823809127,S3
35,69,23,5.578410206,24.96881755,0.823809127,S3
3,77,25,5.608165195,22.89464642,0.823809127,S3
23,62,19,5.609435128,20.4555596,0.823809127,S3
22,71,17,5.509295379,19.38602098,0.823809127,S3
31,79,25,5.902033406,22.3104551,0.823809127,S3
34,59,18,5.744117663,21.98879437,0.823809127,S3
12,63,17,5.717143397,19.37703396,0.823809127,S3
27,56,20,5.542690119,20.51346956,0.823809127,S3
7,63,24,5.858617867,24.03553105,0.823809127,S3
24,67,22,5.618844277,22.89845607,0.823809127,S3
11,71,24,5.606620346,22.7182355,0.823809127,S3
37,74,15,5.582178402,18.22590825,0.823809127,S3
25,76,24,5.56503533,24.91506728,0.823809127,S3
34,66,17,5.889614577,21.27833035,0.823809127,S3
20,69,15,5.934136378,22.77255917,0.823809127,S3
37,65,16,5.683548308,18.97267518,0.823809127,S3
18,74,15,5.70836603,22.27512704,0.823809127,S3
4,67,25,5.948164454,24.35679348,0.823809127,S3
37,56,25,5.774755144,19.60379304,0.823809127,S3
5,59,15,5.97229163,20.18238348,0.823809127,S3
11,61,21,5.532100554,23.02410338,0.823809127,S3
22,80,20,5.669560726,18.86880997,0.823809127,S3
12,61,19,5.655726817,24.13995025,0.823809127,S3
5,74,21,5.591704014,21.35793891,0.823809127,S3
27,69,22,5.932323085,24.90814655,0.823809127,S3
31,75,18,5.824208309,21.43780702,0.823809127,S3
36,68,20,5.86442953,23.77201471,0.823809127,S3
5,65,16,5.866744372,18.48522915,0.823809127,S3
32,79,15,5.706198621,20.74619325,0.823809127,S3
11,78,22,5.940546818,22.74378977,0.823809127,S3
14,55,22,5.916779289,20.57940608,0.823809127,S3
14,59,15,5.779090476,22.91244883,0.823809127,S3
29,68,23,5.82738029,19.27907819,0.823809127,S3
32,68,19,5.514234138,18.18325169,0.823809127,S3
17,64,17,5.662699104,24.93896255,0.823809127,S3
13,69,19,5.86390397,20.01730914,0.823809127,S3
14,67,22,5.624690248,24.75485098,0.823809127,S3
9,69,20,5.591560999,23.96362799,0.823809127,S3
20,73,22,5.976312538,22.33195853,0.823809127,S3
40,78,20,5.669236258,20.83398341,0.82372615,S3
27,72,23,5.961934481,21.79992115,0.823809127,S3
14,67,15,5.690065688,24.67385131,0.823809127,S3
7,56,18,5.698371311,24.32991649,0.823809127,S3
27,65,18,5.59503163,23.22323766,0.823809127,S3
30,63,16,5.525904526,21.90539577,0.823809127,S3
37,70,25,5.819403771,24.89487354,0.823809127,S3
27,63,19,5.562201934,21.1893007,0.823809127,S3
22,60,24,5.630664753,20.24768314,0.823809127,S3
3,72,24,6.03160778,57.92887167,0.823809127,S3
40,59,23,5.269084669,62.73178224,0.822545813,S3
33,73,23,5.985792703,59.38967583,0.823809127,S3
27,57,24,6.09186275,43.35795962,0.823809127,S3
10,79,18,5.624731338,55.46985938,0.823809127,S3
30,75,25,6.446091759,42.35249879,0.823809127,S3
40,70,20,5.623490043,45.03186173,0.822545813,S3
38,55,19,5.864623352,38.23184742,0.823809127,S3
35,58,20,5.761702519,63.47742011,0.823809127,S3
38,61,21,4.696518678,67.38680755,0.818304594,S3
33,58,24,5.269504214,68.75810535,0.823809127,S3
16,56,17,7.445444883,40.03262418,0.823809127,S3
31,72,17,5.833031708,49.47225353,0.823809127,S3
16,80,20,7.339320929,56.67369054,0.823809127,S3
27,72,17,6.347929353,57.23265151,0.823809127,S3
40,62,19,4.697750704,34.13737127,0.816751887,S3
18,58,16,4.962661422,38.80023714,0.820991212,S3
3,68,16,4.964887857,34.69776639,0.821160794,S3
26,67,24,5.642813116,37.73992903,0.823809127,S3
16,70,20,5.6093956,40.1242747,0.823809127,S3
24,63,19,4.681576043,55.96805489,0.819167684,S3
9,76,25,5.70951224,50.12323801,0.823809127,S3
16,55,19,6.413543781,47.19188279,0.823809127,S3
28,75,21,6.007508163,50.54621094,0.823809127,S3
16,71,24,4.946369874,38.40975482,0.819747612,S3
24,70,21,5.517208078,45.3733757,0.823809127,S3
38,72,21,5.902103172,49.4421345,0.823809127,S3
9,66,21,5.719889876,34.13307843,0.823809127,S3
34,56,17,4.548202098,35.42910045,0.823809127,S3
1,76,19,6.669529416,46.68746847,0.823809127,S3
6,69,19,4.750929218,41.69617915,0.815128624,S3
26,73,21,4.946263888,57.97429171,0.819739479,S3
27,61,18,5.266227032,67.07780816,0.823809127,S3
27,71,23,7.10959773,46.48714759,0.823809127,S3
36,61,21,5.617008201,39.04468913,0.823809127,S3
17,73,18,5.632353113,34.51086611,0.823809127,S3
26,72,22,4.674941549,37.57792132,0.819550137,S3
17,64,16,7.161797643,32.24914235,0.822404629,S3
14,74,19,6.624966131,36.82639309,0.823809127,S3
39,60,15,5.004074624,30.98685456,0.82377416,S3
6,66,15,6.345806011,30.40046769,0.823809127,S3
8,59,18,6.216814453,35.72032498,0.823809127,S3
2,67,18,5.921666758,47.52980027,0.823809127,S3
1,76,17,6.012719118,52.10010827,0.823809127,S3
16,73,19,4.684079249,34.80541039,0.819023686,S3
23,75,25,7.077170002,47.19847683,0.823809127,S3
32,70,20,6.208843215,46.24856523,0.823809127,S3
28,59,22,7.05181629,52.79913039,0.823809127,S3
5,62,23,4.722222454,66.45457122,0.81681048,S3
36,67,25,6.418062652,36.52780776,0.823809127,S3
1,66,23,4.803564468,56.92831399,0.812009291,S3
24,73,20,4.608695247,32.31528909,0.82203016,S3
17,67,18,5.611510977,56.46868874,0.823809127,S3
5,55,18,7.322097972,45.70976142,0.823809127,S3
5,56,24,5.023115055,45.01110015,0.823809127,S3
37,77,17,5.617122801,31.94550613,0.823784649,S3
13,73,20,5.391560418,35.48885969,0.823809127,S3
6,63,23,5.906596905,49.94704718,0.823809127,S3
16,77,22,6.574209678,35.6395615,0.823809127,S3
25,64,20,4.807776749,32.45974539,0.811757708,S3
34,75,24,4.760038039,51.29019509,0.81459196,S3
20,77,23,5.180271502,38.83786012,0.823809127,S3
35,80,25,4.895927306,44.93322042,0.81584312,S3
14,75,24,6.436160044,57.3414485,0.823809127,S3
36,80,21,7.066087261,48.41490082,0.823809127,S3
7,77,18,6.655918078,60.54880693,0.823809127,S3
29,78,25,5.982854523,59.33157782,0.823809127,S3
30,60,21,5.457871273,62.4901206,0.820626544,S3
20,74,16,4.759490199,43.61444121,0.814624369,S3
19,57,23,7.342409555,47.2879691,0.823809127,S3
3,60,19,4.820788186,40.7192594,0.810978395,S3
5,77,19,6.242052013,66.68832981,0.823809127,S3
5,68,20,5.001038726,61.33186249,0.823660698,S3
37,73,21,5.560224583,63.46513414,0.823809127,S3
9,59,24,4.747352458,39.37252634,0.815338991,S3
20,72,15,7.313517308,56.01334416,0.823809127,S3
31,56,23,5.661826398,35.39454002,0.823809127,S3
25,70,21,4.672437054,56.03021253,0.819693962,S3
21,74,15,6.471862118,67.10604388,0.823809127,S3
13,67,18,5.384762927,34.75591197,0.823809127,S3
27,74,20,5.859813416,59.96669215,0.823809127,S3
29,72,24,6.962386495,36.67847052,0.823809127,S3
5,68,20,6.12166671,33.10695144,0.823809127,S3
39,57,19,6.421748487,45.93248374,0.823809127,S3
22,62,16,4.828936119,54.32342534,0.810540934,S3
18,55,23,6.98571967,56.31006755,0.823809127,S3
39,77,21,4.603563116,60.24218572,0.823577404,S3
13,75,20,6.979540061,35.29006485,0.823809127,S3
27,71,24,7.064973419,48.17631461,0.823809127,S3
26,64,22,5.16516459,40.58227261,0.823809127,S3
23,55,16,5.111488821,69.69141302,0.823809127,S3
4,69,19,5.374358869,47.70351758,0.823809127,S3
20,67,19,5.671419084,50.54495302,0.823809127,S3
7,74,17,5.667419697,62.56532471,0.823809127,S3
17,64,18,6.07938452,58.25799145,0.823809127,S3
35,71,17,6.931924963,66.35375127,0.823809127,S3
11,72,22,6.842744374,44.82294584,0.823809127,S3
20,60,22,6.876572503,42.89833235,0.823809127,S3
10,71,18,6.151029296,66.34777265,0.823809127,S3
33,61,24,4.567446499,48.93905624,0.823809127,S3
3,49,18,3.692863601,64.70930606,0.823809127,S3
22,59,23,4.371745575,51.27868781,0.823809127,S3
36,58,25,8.399135958,59.3189118,0.8237742,S3
4,43,18,8.840656256,61.09387478,0.823809127,S3
29,54,16,8.153022903,54.65030015,0.820806194,S3
32,43,22,5.270749441,54.1077461,0.823809127,S3
14,55,15,8.050304395,55.27755933,0.823809127,S3
5,35,20,9.679240873,53.57014709,0.815571594,S3
25,57,24,6.974978386,58.59986279,0.823809127,S3
11,53,24,7.39389918,55.77264351,0.823809127,S3
40,49,17,6.68727523,45.89239456,0.822545813,S3
38,56,25,7.88118645,45.38497051,0.823809127,S3
27,43,23,5.875333778,56.85420099,0.823809127,S3
24,38,22,8.202706015,58.51663927,0.823734677,S3
23,45,21,8.985348193,51.79939437,0.823809127,S3
29,57,20,5.87707519,50.7330069,0.823809127,S3
31,35,23,7.707595055,47.18283631,0.823809127,S3
31,55,25,4.524171562,43.6672299,0.823809127,S3
7,45,22,9.926212291,44.8302551,0.803664045,S3
17,58,25,6.455592696,43.58788762,0.823809127,S3
11,44,17,8.016210782,55.59160391,0.823809127,S3
22,49,22,3.71105919,61.5620517,0.823809127,S3
9,51,19,5.49091063,49.32609633,0.823127527,S3
28,48,15,9.254089438,55.25435777,0.823809127,S3
26,50,19,6.005242945,51.66921088,0.823809127,S3
36,56,20,7.437078236,49.66474269,0.823809127,S3
8,60,18,3.808429173,46.01868196,0.823809127,S3
24,37,21,5.818219385,58.22686794,0.823809127,S3
22,43,24,4.52363558,53.2208266,0.823809127,S3
